Ano de Ano;Label Padro;Location (group);UF/Regiao;Measure Val
2006; padronizada por idade;States;Amapa;0,9
2006; padronizada por idade;States;Amazonas;1,4
2006; padronizada por idade;States;Goias;1,4
2006; padronizada por idade;States;Mato Grosso;1,4
2006; padronizada por idade;States;Para;1,5
2006; padronizada por idade;States;Santa Catarina;1,5
2006; padronizada por idade;States;Rondonia;1,6
2006; padronizada por idade;States;Sao Paulo;1,6
2006; padronizada por idade;States;Parana;1,7
2006; padronizada por idade;States;Acre;1,8
2006; padronizada por idade;States;Mato Grosso do Sul;1,8
2006; padronizada por idade;States;Minas Gerais;1,8
2006; padronizada por idade;States;Paraiba;1,8
2006; padronizada por idade;States;Rio de Janeiro;1,8
2006; padronizada por idade;States;Maranhao;1,9
2006; padronizada por idade;States;Rio Grande do Sul;2
2006; padronizada por idade;States;Distrito Federal;2,1
2006; padronizada por idade;States;Tocantins;2,1
2006; padronizada por idade;States;Rio Grande do Norte;2,2
2006; padronizada por idade;States;Piaui;2,4
2006; padronizada por idade;States;Bahia;2,5
2006; padronizada por idade;States;Roraima;2,5
2006; padronizada por idade;States;Sergipe;2,5
2006; padronizada por idade;States;Espirito Santo;2,6
2006; padronizada por idade;States;Pernambuco;2,6
2006; padronizada por idade;States;Alagoas;2,8
2006; padronizada por idade;States;Ceara;3,1
